Date,MFC.TO weekly price
2018-09-03,18.04
2018-09-10,17.91
2018-09-17,18.62
2018-09-24,17.91
2018-10-01,16.95
2018-10-08,15.92
2018-10-15,16.18
2018-10-22,15.63
2018-10-29,17.04
2018-11-05,17.32
2018-11-12,17.07
2018-11-19,16.81
2018-11-26,17.24
2018-12-03,15.84
2018-12-10,15.45
2018-12-17,14.61
2018-12-24,14.99
2018-12-31,15.60
2019-01-07,16.18
2019-01-14,16.77
2019-01-21,16.36
2019-01-28,16.45
2019-02-04,16.33
2019-02-11,16.84
2019-02-18,17.50
2019-02-25,17.67
2019-03-04,17.58
2019-03-11,17.93
2019-03-18,17.74
2019-03-25,17.93
2019-04-01,18.74
2019-04-08,19.17
2019-04-15,19.54
2019-04-22,19.46
2019-04-29,19.79
2019-05-06,18.88
2019-05-13,18.44
2019-05-20,18.65
2019-05-27,18.18
2019-06-03,19.02
2019-06-10,18.69
2019-06-17,19.12
2019-06-24,19.08
2019-07-01,19.46
2019-07-08,19.26
2019-07-15,19.50
2019-07-22,19.53
2019-07-29,18.12
2019-08-05,17.76
2019-08-12,17.80
2019-08-19,17.37
2019-08-26,17.91
2019-09-02,18.41
2019-09-09,19.59
2019-09-16,19.87
2019-09-23,19.59
2019-09-30,19.04
2019-10-07,19.46
2019-10-14,19.73
2019-10-21,19.85
2019-10-28,20.12
2019-11-04,21.19
2019-11-11,21.33
2019-11-18,20.92
2019-11-25,21.39
2019-12-02,20.83
2019-12-09,20.79
2019-12-16,21.62
2019-12-23,21.56
2019-12-30,21.67
2020-01-06,22.62
2020-01-13,22.60
2020-01-20,22.22
2020-01-27,21.10
2020-02-03,21.74
2020-02-10,21.37
2020-02-17,21.11
2020-02-24,18.47
2020-03-02,17.83
2020-03-09,14.86
2020-03-16,11.27
2020-03-23,13.04
2020-03-30,13.27
2020-04-06,14.80
2020-04-13,14.37
2020-04-20,13.29
2020-04-27,13.99
2020-05-04,14.13
2020-05-11,13.03
2020-05-18,13.38
2020-05-25,14.40
2020-06-01,16.44
2020-06-08,15.82
2020-06-15,15.74
2020-06-22,15.03
2020-06-29,15.39
2020-07-06,15.45
2020-07-13,16.12
2020-07-20,15.73
2020-07-27,15.12
2020-08-03,16.50
2020-08-10,16.83
2020-08-17,16.64
2020-08-24,17.00
2020-08-31,16.36
2020-09-07,16.28
2020-09-14,16.32
2020-09-21,15.71
2020-09-28,16.13
2020-10-05,16.45
2020-10-12,16.06
2020-10-19,16.40
2020-10-26,15.42
2020-11-02,16.08
2020-11-09,17.76
2020-11-16,18.36
2020-11-23,19.39
2020-11-30,20.16
2020-12-07,19.73
2020-12-14,19.21
2020-12-21,19.41
2020-12-28,19.59
2021-01-04,20.73
2021-01-11,20.92
2021-01-18,20.89
2021-01-25,19.99
2021-02-01,20.86
2021-02-08,21.52
2021-02-15,21.55
2021-02-22,21.95
2021-03-01,23.44
2021-03-08,23.81
2021-03-15,23.75
2021-03-22,23.68
2021-03-29,23.87
2021-04-05,23.64
2021-04-12,23.60
2021-04-19,23.27
2021-04-26,23.48
2021-05-03,22.62
2021-05-10,22.90
2021-05-17,21.71
2021-05-24,22.32
2021-05-31,22.33
2021-06-07,21.88
2021-06-14,21.29
2021-06-21,21.77
2021-06-28,21.58
2021-07-05,21.21
2021-07-12,21.21
2021-07-19,21.20
2021-07-26,21.33
2021-08-02,22.28
2021-08-09,22.51
2021-08-16,22.05
2021-08-23,22.44
2021-08-30,21.84
2021-09-06,21.85
2021-09-13,21.92
2021-09-20,21.84
2021-09-27,21.95
2021-10-04,22.04
2021-10-11,22.36
2021-10-18,22.47
2021-10-25,21.56
2021-11-01,21.79
2021-11-08,22.34
2021-11-15,21.84
2021-11-22,21.59
2021-11-29,20.82
2021-12-06,21.77
2021-12-13,21.24
2021-12-20,21.66
2021-12-27,21.86
2022-01-03,23.14
2022-01-10,23.56
2022-01-17,22.92
2022-01-24,23.71
2022-01-31,23.98
2022-02-07,24.85
2022-02-14,24.39
2022-02-21,23.48
2022-02-28,23.07
2022-03-07,23.20
2022-03-14,23.47
2022-03-21,24.18
2022-03-28,24.55
2022-04-04,24.73
2022-04-11,24.72
2022-04-18,23.88
2022-04-25,23.06
2022-05-02,22.91
2022-05-09,20.67
2022-05-16,20.59
2022-05-23,21.26
2022-05-30,21.69
2022-06-06,21.23
2022-06-13,19.98
2022-06-20,20.42
2022-06-27,20.79
2022-07-04,21.20
2022-07-11,20.52
2022-07-18,20.93
2022-07-25,21.84
2022-08-01,21.97
2022-08-08,22.74
2022-08-15,22.51
2022-08-22,21.67
2022-08-29,21.32
2022-09-05,21.87
2022-09-12,21.48
2022-09-19,20.31
2022-09-26,20.48
2022-10-03,20.66
2022-10-10,20.52
2022-10-17,20.84
2022-10-24,21.40
2022-10-31,21.35
2022-11-07,22.22
2022-11-14,22.26
2022-11-21,22.70
2022-11-28,23.38
2022-12-05,23.17
2022-12-12,22.96
2022-12-19,23.27
2022-12-26,23.13
2023-01-02,23.64
2023-01-09,24.32
2023-01-16,24.43
2023-01-23,25.05
2023-01-30,25.13
2023-02-06,24.99
2023-02-13,25.93
2023-02-20,25.62
2023-02-27,26.23
2023-03-06,25.20
2023-03-13,23.37
2023-03-20,23.64
2023-03-27,24.09
2023-04-03,24.35
2023-04-10,24.87
2023-04-17,25.44
2023-04-24,25.98
2023-05-01,25.73
2023-05-08,24.84
2023-05-15,25.39
2023-05-22,24.79
2023-05-29,25.49
2023-06-05,25.33
2023-06-12,24.66
2023-06-19,23.66
2023-06-26,24.66
2023-07-03,24.23
2023-07-10,24.55
2023-07-17,25.41
2023-07-24,25.92
2023-07-31,25.60
2023-08-07,25.79
2023-08-14,24.08
2023-08-21,23.96
